,content,date,hashtags,id,likes,replies,retweets,tweeter,dayofyear
0,Pre drinks will start in approximately 12 hours #Maga #geezit,2015-06-15,"['maga', 'geezit']",610388642213793792,16,2,0,___swx,0
1,Follow me if your going magaluf at the end of July #Magaluf2015 #Maga #Magaluf @Magaluf_FS ,2015-06-15,"['maga', 'maga', 'maga']",610490521082023936,4,1,1,ShaniquaAndWott,0
2,Today's the day boys @hick_charlie  @robbiemain #pad #kirbs #barca #maga,2015-06-15,"['pad', 'kirbs', 'barca', 'maga']",610372104064749568,2,1,2,TomHooson_,0
3,The  24 hour count down has begun #Maga,2015-06-15,['maga'],610382584078594048,9,1,1,LesslieAidan,0
4,4 weeks today man#maga,2015-06-15,['maga'],610398407132381185,2,0,0,CraigStobo95,0
5,Magaluf is going to big this summer! #maga #bcm #bhmallorca #clubbmallorca #magaluftakeover Check out these packages: http://www.magaluftakeover.co.uk ,2015-06-15,"['maga', 'bcm', 'bhmallorca', 'clubbmallorca', 'maga']",610487937566834688,0,0,1,clubinthesun,0
6,Fuck maga..absolute shitole ..never coming back ..over n out #maga #Magaluf2015,2015-06-15,"['maga', 'maga']",610342463912460288,1,0,0,jackieboi87,0
7,Next two weeks can't come quick enough  #maga,2015-06-15,['maga'],610451797560455168,2,0,1,lewis_slight,0
8,View from my office @bcmmallorca #BCM #Magaluf #Mallorca #Maga #BCMPlanetDance #CreamMallorca… https://instagram.com/p/39wUBBtVYz/ ,2015-06-15,"['bcm', 'maga', 'mallorca', 'maga', 'bcmplanetdance', 'creammallorca']",610559796236951552,3,1,1,DJ_PBH,0
9,En T.I.C con #Yuli #Agus #Azul  #Mara y #Maga,2015-06-15,"['yuli', 'agus', 'azul', 'mara', 'maga']",610435092247396352,1,0,0,Emischiebert,0
10,"Whos all heading to work then, sorrrryyyy #maga",2015-06-15,['maga'],610315131604598785,1,0,1,craigystrachan_,0
11,This time tomorrow  #Maga,2015-06-15,['maga'],610493727728115712,5,0,2,Blaggy95,0
